PERMNO,date,TICKER,RET,RETX
19561,29-03-2018,BA,-0.094779,-0.094779
19561,30-04-2018,BA,0.017323,0.017323
19561,31-05-2018,BA,0.060889,0.055762
19561,29-06-2018,BA,-0.04728,-0.04728
19561,31-07-2018,BA,0.061965,0.061965
19561,31-08-2018,BA,-0.033118,-0.037917
19561,28-09-2018,BA,0.084921,0.084921
19561,31-10-2018,BA,-0.045819,-0.045819
19561,30-11-2018,BA,-0.018007,-0.022826
19561,31-12-2018,BA,-0.069962,-0.069962
19561,31-01-2019,BA,0.195721,0.195721
19561,28-02-2019,BA,0.146245,0.140916
19561,29-03-2019,BA,-0.133058,-0.133058
19561,30-04-2019,BA,-0.009779,-0.009779
19561,31-05-2019,BA,-0.090087,-0.095528
19561,28-06-2019,BA,0.065572,0.065572
19561,31-07-2019,BA,-0.062718,-0.062718
19561,30-08-2019,BA,0.073173,0.067149
19561,30-09-2019,BA,0.044989,0.044989
19561,31-10-2019,BA,-0.106605,-0.106605
19561,29-11-2019,BA,0.083331,0.077285
19561,31-12-2019,BA,-0.110383,-0.110383
19561,31-01-2020,BA,-0.022992,-0.022992
19561,28-02-2020,BA,-0.129151,-0.135608
19561,31-03-2020,BA,-0.45789,-0.45789
19561,30-04-2020,BA,-0.054445,-0.054445
19561,29-05-2020,BA,0.03425,0.03425
19561,30-06-2020,BA,0.256771,0.256771
19561,31-07-2020,BA,-0.138025,-0.138025
19561,31-08-2020,BA,0.087468,0.087468
19561,30-09-2020,BA,-0.03818,-0.03818
19561,30-10-2020,BA,-0.126286,-0.126286
19561,30-11-2020,BA,0.459312,0.459312
19561,31-12-2020,BA,0.015899,0.015899
19561,29-01-2021,BA,-0.092824,-0.092824
19561,26-02-2021,BA,0.091766,0.091766
19561,31-03-2021,BA,0.201453,0.201453
19561,30-04-2021,BA,-0.080127,-0.080127
19561,28-05-2021,BA,0.054244,0.054244
19561,30-06-2021,BA,-0.0302,-0.0302
19561,30-07-2021,BA,-0.0546,-0.0546
19561,31-08-2021,BA,-0.030819,-0.030819
19561,30-09-2021,BA,0.002005,0.002005
19561,29-10-2021,BA,-0.058698,-0.058698
19561,30-11-2021,BA,-0.044341,-0.044341
19561,31-12-2021,BA,0.017539,0.017539
19561,31-01-2022,BA,-0.005365,-0.005365
19561,28-02-2022,BA,0.025469,0.025469
19561,31-03-2022,BA,-0.0674,-0.0674
19561,29-04-2022,BA,-0.222768,-0.222768
19561,31-05-2022,BA,-0.117173,-0.117173
19561,30-06-2022,BA,0.040487,0.040487
19561,29-07-2022,BA,0.165228,0.165228
19561,31-08-2022,BA,0.0059,0.0059
19561,30-09-2022,BA,-0.244431,-0.244431
19561,31-10-2022,BA,0.17699,0.17699
19561,30-11-2022,BA,0.25521,0.25521
19561,30-12-2022,BA,0.064904,0.064904
19561,31-01-2023,BA,0.118169,0.118169
19561,28-02-2023,BA,-0.053756,-0.053756
19561,31-03-2023,BA,0.053982,0.053982
19561,28-04-2023,BA,-0.026597,-0.026597
19561,31-05-2023,BA,-0.005223,-0.005223
19561,30-06-2023,BA,0.026544,0.026544
19561,31-07-2023,BA,0.131133,0.131133
19561,31-08-2023,BA,-0.062047,-0.062047
19561,29-09-2023,BA,-0.1444,-0.1444
19561,31-10-2023,BA,-0.025355,-0.025355
19561,30-11-2023,BA,0.239857,0.239857
19561,29-12-2023,BA,0.125329,0.125329
